,0.01,0.05,0.1,0.25,0.5,0.75,1
exact,4.20598276711120,53.52902826612550,59.59309636515660,67.94528304452320,71.59457281682920,73.11508749003260,75.32729406552320
f1,13.64772934761930,75.24375939040200,77.76461082318860,83.20819304682610,86.49820051060210,89.184284749295,90.2877003784312
total,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0
HasAns_exact,4.20598276711120,53.52902826612550,59.59309636515660,67.94528304452320,71.59457281682920,73.11508749003260,75.32729406552320
HasAns_f1,13.64772934761930,75.24375939040200,77.76461082318860,83.20819304682610,86.49820051060210,89.18428474929500,90.28770037843120
HasAns_total,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0,1428.0
best_exact,4.20598276711120,53.52902826612550,59.59309636515660,67.94528304452320,71.59457281682920,73.11508749003260,75.32729406552320
best_exact_thresh,0.0,0.0,0.0,0.0,0.0,0.0,0.0
best_f1,13.64772934761930,75.24375939040200,77.76461082318860,83.20819304682610,86.49820051060210,89.18428474929500,90.28770037843120
best_f1_thresh,0.0,0.0,0.0,0.0,0.0,0.0,0.0
